Stay Type,Sales Channel,Trip Type,Booking Origin,Flight Day,Days Before Flight,Length of Stay,Booking Completed
Long Stay,Internet,RoundTrip,New Zealand,6,262,19,0
Long Stay,Internet,RoundTrip,New Zealand,6,112,20,0
Long Stay,Internet,RoundTrip,India,3,243,22,0
Long Stay,Internet,RoundTrip,New Zealand,6,96,31,0
Long Stay,Internet,RoundTrip,India,3,68,22,0
Long Stay,Internet,RoundTrip,New Zealand,4,3,48,0
Long Stay,Internet,RoundTrip,New Zealand,4,201,33,0
Long Stay,Internet,RoundTrip,India,1,238,19,0
Long Stay,Internet,RoundTrip,New Zealand,1,80,22,0
Long Stay,Mobile,RoundTrip,India,7,378,30,0
Long Stay,Internet,RoundTrip,United Kingdom,2,185,25,0
Long Stay,Internet,RoundTrip,New Zealand,6,8,43,0
Long Stay,Internet,RoundTrip,New Zealand,1,265,24,0
Long Stay,Internet,RoundTrip,India,5,185,17,0
Long Stay,Internet,RoundTrip,New Zealand,2,245,34,0
Long Stay,Internet,RoundTrip,India,4,192,18,0
Long Stay,Internet,RoundTrip,India,7,259,37,0
Long Stay,Internet,RoundTrip,New Zealand,6,19,29,0
Long Stay,Internet,RoundTrip,New Zealand,7,67,155,0
Long Stay,Internet,RoundTrip,China,7,351,17,0
Long Stay,Internet,CircleTrip,New Zealand,3,228,29,0
Long Stay,Internet,RoundTrip,South Korea,3,21,88,0
Long Stay,Internet,RoundTrip,New Zealand,1,23,19,0
Long Stay,Internet,RoundTrip,South Korea,5,25,27,0
Long Stay,Internet,RoundTrip,New Zealand,4,16,21,0
Long Stay,Internet,RoundTrip,South Korea,4,66,20,0
Long Stay,Internet,RoundTrip,South Korea,5,51,28,0
Long Stay,Internet,RoundTrip,New Zealand,1,37,24,0
Long Stay,Internet,RoundTrip,South Korea,2,101,19,0
Long Stay,Internet,RoundTrip,New Zealand,2,19,47,0
Long Stay,Internet,RoundTrip,New Zealand,3,16,35,0
Long Stay,Internet,RoundTrip,South Korea,4,7,82,0
Long Stay,Internet,RoundTrip,New Zealand,5,5,27,0
Long Stay,Internet,RoundTrip,New Zealand,1,185,34,0
Long Stay,Internet,RoundTrip,New Zealand,5,21,22,0
Long Stay,Internet,RoundTrip,New Zealand,3,7,27,0
Long Stay,Internet,RoundTrip,South Korea,6,33,22,0
Long Stay,Internet,RoundTrip,South Korea,5,20,22,0
Long Stay,Internet,RoundTrip,New Zealand,4,56,21,0
Long Stay,Internet,RoundTrip,South Korea,1,3,33,0
Long Stay,Internet,RoundTrip,South Korea,1,13,26,0
Long Stay,Internet,RoundTrip,South Korea,4,71,90,0
Long Stay,Internet,RoundTrip,South Korea,1,346,23,0
Long Stay,Internet,RoundTrip,New Zealand,3,9,84,0
Long Stay,Internet,RoundTrip,South Korea,4,65,22,0
Long Stay,Mobile,RoundTrip,New Zealand,7,221,61,0
Long Stay,Internet,RoundTrip,South Korea,3,65,18,0
Long Stay,Internet,RoundTrip,South Korea,3,7,40,0
Long Stay,Internet,RoundTrip,South Korea,5,107,24,0
Long Stay,Internet,RoundTrip,New Zealand,3,14,27,0
Long Stay,Internet,RoundTrip,New Zealand,2,77,96,0
Long Stay,Internet,RoundTrip,New Zealand,3,65,17,0
Long Stay,Internet,RoundTrip,South Korea,4,24,25,0
Long Stay,Internet,RoundTrip,South Korea,3,47,69,0
Long Stay,Internet,RoundTrip,South Korea,2,22,89,0
Long Stay,Internet,RoundTrip,South Korea,4,11,25,0
Long Stay,Internet,RoundTrip,South Korea,2,35,25,0
Long Stay,Internet,RoundTrip,New Zealand,2,272,21,0
Long Stay,Internet,RoundTrip,New Zealand,1,20,18,0
Long Stay,Internet,RoundTrip,South Korea,7,250,23,0
Long Stay,Internet,RoundTrip,South Korea,6,161,58,0
Long Stay,Internet,RoundTrip,New Zealand,1,128,21,0
Long Stay,Internet,RoundTrip,South Korea,7,190,27,0
Long Stay,Internet,RoundTrip,New Zealand,6,311,27,0
Long Stay,Internet,RoundTrip,South Korea,5,27,56,0
Long Stay,Internet,RoundTrip,New Zealand,7,314,43,0
Long Stay,Internet,RoundTrip,South Korea,3,25,29,0
Long Stay,Internet,RoundTrip,South Korea,2,102,110,0
Long Stay,Internet,RoundTrip,South Korea,1,24,19,0
Long Stay,Internet,RoundTrip,Japan,1,2,165,0
Long Stay,Internet,RoundTrip,Japan,1,26,111,0
Long Stay,Internet,RoundTrip,New Zealand,7,32,34,0
Long Stay,Internet,RoundTrip,New Zealand,7,57,38,0
